Parameter,Baseline,MinimumJointTarget,Factor
Rm,2.49472903906831,3.90865689965068,1.56676610503176
Km,0.0982136681591542,0.0577738456421737,0.588246490789365
Bs,0.00127160877081618,0.0354630984140174,27.8883719803658
Bm,0.00653610951658049,0.0701164725901643,10.7275547345552
