MotorWheelDiameter_mm,ShaftDiameter_mm,NominalResonance_Hz,PeakReduction_pct,CostReduction_pct,NominalMotionReduction_pct,JointComplianceMotionReduction_pct,BothMotionTargetsPass
100,7,40.9881147924702,63.48208890506,45.5696194439312,50.9775579262325,17.5434861294085,0
100,7.5,47.0621552705604,63.4910724307585,45.5848045030187,57.3656836694668,20.6014645441555,0
100,8,53.553987062786,63.4975009034557,45.5956695787358,62.6680299563687,22.8802477741752,0
105,7,38.1941634835754,56.6855916462748,37.2284430845249,56.1201064345457,26.1418509061582,0
105,7.5,43.8520922862204,56.6939976757651,37.2426889865256,61.8246764551164,28.8917899904676,0
105,8,49.89943641464,56.7000136092385,37.2528848703849,66.5556294592283,30.9398018796458,1
107,7,37.1936995359358,53.7643146680619,33.9008260492585,58.0150188726089,29.3119457328982,0
107,7.5,42.7027657030921,53.7724793927452,33.9146565227233,63.4720036511728,31.9474559082547,1
107,8,48.5910875891445,53.7783228353039,33.9245625035619,67.9914790478245,33.9100396747373,1
