pt,pa,envelope
0.0425,7.68218436281859,6.71585055360917
0.171,7.33280563718141,6.54556349194169
0.2935,7.07899436281859,6.38724926485778
0.4205,6.77517563718141,6.22716084766702
0.545,6.55122436281859,6.07411913851503
0.671,6.28785563718141,5.92306264690361
0.7935,6.08974436281859,5.77980453229384
0.921,5.84558563718141,5.63437786473725
1.0435,5.67470436281859,5.49810202265693
1.171,5.45178563718141,5.35976332096319
1.293,5.29835436281859,5.23065213470441
1.419,5.10392563718141,5.10057171608072
1.5425,4.95749436281859,4.97621208947053
1.6685,4.78175563718141,4.85245930777361
1.792,4.65723436281859,4.7341490356617
1.9175,4.49594563718141,4.61687744829879
2.039,4.38408436281859,4.50611190925716
2.166,4.22916563718141,4.39317184800005
2.288,4.13067436281859,4.28734485625295
2.413,3.99317563718141,4.18155910060389
2.536,3.90341436281859,4.08001409789083
2.6615,3.77805563718141,3.97894636087654
2.7845,3.69405436281859,3.88232160697745
2.9095,3.57949563718141,3.78652937690578
3.033,3.50886436281859,3.6942080832014
3.1565,3.39693563718141,3.60413772179488
3.279,3.33527436281859,3.51696626918696
3.404,3.23315563718141,3.43018880041498
3.5265,3.17666436281859,3.34722456221637
3.6515,3.07913563718141,3.264635292747
3.7745,3.02544436281859,3.18535687250148
3.899,2.93711563718141,3.10707200529602
4.022,2.88611436281859,3.03161985273361
4.146,2.80549563718141,2.95740883113685
4.2675,2.76240436281859,2.88645633412654
4.393,2.68019563718141,2.81495471607294
4.515,2.64402436281859,2.74714535194758
4.6385,2.56857563718141,2.68016580745161
4.7625,2.53078436281859,2.61455802933907
4.8855,2.46348563718141,2.55106608870278
5.0095,2.43109436281859,2.48861854257235
5.1325,2.36185563718141,2.42818491708066
5.2565,2.32855436281859,2.36874537911882
5.3795,2.26594563718141,2.31122275414517
5.5015,2.23070436281859,2.25554777492942
5.6245,2.16772563718141,2.20077404115831
5.7495,2.14094436281859,2.14647224068214
5.8715,2.08289563718141,2.09476593190128
5.996,2.05574436281859,2.04328395378414
6.1185,1.99864563718141,1.99386408026912
6.241,1.97293436281859,1.94563950019029
6.3655,1.91702563718141,1.89782252520171
6.488,1.89405436281859,1.85192085354432
6.61,1.84179563718141,1.80730998475403
6.733,1.81967436281859,1.7634212597857
6.8565,1.76679563718141,1.72042639143947
6.9795,1.74904436281859,1.67864754809821
7.1035,1.69532563718141,1.63755593519927
7.226,1.67744436281859,1.59794919965894
7.35,1.62530563718141,1.55883300161073
7.473,1.60964436281859,1.52097829297946
7.595,1.55920563718141,1.48433949012181
7.718,1.54507436281859,1.44829378230681
7.842,1.49476563718141,1.41284099918154
7.9645,1.48258436281859,1.37866932991987
