Factor,Resonance_Hz,PeakRatio,MovingCostRatio,FixedCostRatio,TransientRatio,DCGainRatio
1,5.69013197069411,1,1,1,1,1
1.02920052719443,5.68989537351595,0.990560477474967,0.994929738620815,0.99489987986473,0.999544968376783,1
1.05925372517729,5.68969689093786,0.981031347228568,0.989762102554397,0.989707274544784,0.999076953243277,0.999999999999999
1.09018449238513,5.68945614491536,0.971415352944577,0.984506733057192,0.984421715849297,0.998595593229179,1
1.12201845430196,5.68920616070128,0.961715359442128,0.979159041895444,0.979042788512668,0.998100517442492,1
1.15478198468946,5.68894652547723,0.951934356799755,0.973718708595041,0.97357013247677,0.997591345250955,0.999999999999999
1.18850222743702,5.68867680537157,0.942075454873442,0.96818547170936,0.968003445176941,0.997067686060091,0.999999999999999
1.22320711904993,5.68839654429365,0.932141880369485,0.962559131155047,0.962342483828007,0.996529139088715,0.999999999999999
1.25892541179417,5.68810526270052,0.922136973576276,0.95683955054422,0.956587067706451,0.995975293140567,1
1.29568669751702,5.68780245629185,0.912064184758792,0.951026659508966,0.950737080424735,0.995405726374577,0.999999999999999
1.33352143216332,5.68748759462868,0.901927070221179,0.945120456013848,0.944792472193676,0.994820006071278,0.999999999999999
1.37246096100756,5.68716011967138,0.891729288044521,0.939121008652029,0.938753262068634,0.994217688397762,1
1.41253754462275,5.68681944423189,0.881474593508543,0.933028458920462,0.932619540175192,0.993598318169556,1
1.45378438560766,5.68646495033476,0.871166834207635,0.926843023469496,0.926391469909869,0.99296142861111,0.999999999999999
1.49623565609443,5.68609598748142,0.860809944873255,0.920564996322082,0.920069290111281,0.992306541113543,1
1.53992652605949,5.68571187081165,0.850407941916325,0.914194751057618,0.913653317197046,0.991633164991875,0.999999999999999
1.58489319246111,5.68531187915574,0.83996491770482,0.907732742955341,0.907143947261596,0.99094079723932,1
1.63117290922784,5.68489525297036,0.829485034593205,0.901179511091996,0.900541658129901,0.990241521536674,1
1.67880401812256,5.68446119215088,0.818972518721789,0.894535680388331,0.893847011361967,0.98952677248505,1
1.72782598050786,5.68400885371222,0.80843165360543,0.887801963598827,0.887060654202795,0.988791908371249,1
1.77827941003892,5.68353734932967,0.797866773532175,0.880979163238825,0.880183321472302,0.988036385680462,0.999999999999999
1.83020610631106,5.68304574273076,0.787282256793622,0.874068173443032,0.873215837389526,0.987259647542184,0.999999999999999
1.8836490894898,5.68253304692847,0.776682518769716,0.867069981749175,0.866159117325186,0.986461123482175,0.999999999999999
1.93865263595221,5.68199822128541,0.766072004891624,0.859985670800308,0.859014169476483,0.985640229173711,0.999999999999999
1.99526231496888,5.68143733272783,0.75545518335436,0.852816737073869,0.851782096457717,0.984796366191899,1
2.05352502645715,5.68085017817222,0.744836538292057,0.845564344808639,0.844464096800078,0.983928921767013,1
2.11348903983665,5.6802377964492,0.734220562412888,0.838229617243388,0.837061466353634,0.983037268541583,1
2.17520403401952,5.67959891398335,0.723611749462797,0.830814031665226,0.829575599584256,0.982120764328762,1
2.23872113856834,5.67893218631317,0.713014587069572,0.823319167577166,0.822007990757861,0.981178751873589,1
2.30409297605585,5.67823619391339,0.702433549503708,0.81574670776535,0.814360235004035,0.980210558618317,1
2.37137370566166,5.6775094377544,0.691873090495153,0.808098439231766,0.806634029250713,0.979215496472234,1
2.44061906804198,5.67675033458106,0.681337636131246,0.800376253983543,0.798831173021226,0.978192861584663,1
2.51188643150958,5.67595721189102,0.670831577860696,0.792582149669628,0.790953569084649,0.977141934124879,0.999999999999999
2.58523483956219,5.67512830259172,0.660359265627801,0.78471823005532,0.783003223950001,0.976061978068314,0.999999999999999
2.66072505979881,5.67426173931341,0.649925001160402,0.776786705324793,0.774982248194453,0.974952240989238,0.999999999999999
2.73841963426436,5.67335844793103,0.639533031180044,0.768789600333076,0.766892856615358,0.973811953861678,0.999999999999999
2.81838293126445,5.67239580719662,0.629187543186931,0.760731391124868,0.758737368195553,0.972640330869104,0.999999999999999
2.90068119869315,5.67139063492453,0.618892654242987,0.752612673671975,0.750518205871074,0.971436569224259,0.999999999999999
2.98538261891796,5.67034063575723,0.608652410341874,0.74443608335936,0.742237896090145,0.970212373609784,0.999999999999999
3.07255736526745,5.66924022610846,0.598470778361704,0.736204662674796,0.733899068152087,0.968954740102781,0.999999999999999
3.16227766016838,5.66809630013442,0.588351641922247,0.727920351160913,0.72550445331462,0.967660803565942,1
3.25461783498046,5.66689667272571,0.578298793961216,0.719587002444307,0.717056883657977,0.96632983712122,0.999999999999999
3.34965439157828,5.66564161847727,0.568315934365206,0.711207364576187,0.70855929069424,0.964961091605694,0.999999999999999
3.44746606573149,5.66431860836632,0.558406664174138,0.702785442846496,0.700014703710457,0.963553794676977,0.999999999999999
3.54813389233575,5.6629330169604,0.548574482512236,0.69432368028782,0.691426247834336,0.962107150029736,1
3.65174127254838,5.66148348395484,0.538822782023558,0.685825235912381,0.682797141811703,0.96062033673229,1
3.75837404288444,5.65996640846655,0.529154845362785,0.677293548898923,0.674130695485476,0.959092508692376,0.999999999999999
3.86812054633052,5.65837797428665,0.519573842159044,0.668732148933269,0.66543030696661,0.957522794255361,0.999999999999999
3.98107170553497,5.65670903005256,0.51008282649983,0.660145075844258,0.656699459488372,0.955910295940045,0.999999999999999
4.09732109813542,5.65493931533394,0.500684734814425,0.651537303886638,0.647941717936428,0.954254090313708,0.999999999999999
4.21696503428582,5.6530883702754,0.491382382452292,0.642910594436267,0.639160725048484,0.95255322800166,0.999999999999999
4.34010263644744,5.65115141339684,0.482178463752754,0.634268813797858,0.630360197278808,0.950806733835718,0.999999999999999
4.46683592150963,5.64912328454686,0.47307554932999,0.62561590674622,0.621543920324634,0.949013607128511,0.999999999999999
4.59726988530872,5.64698071515935,0.464076085102762,0.616957214094959,0.612715744313451,0.94717282207533,0.999999999999999
4.73151258961481,5.64473806705563,0.455182392776975,0.60829524646575,0.60387957865233,0.945283328269404,0.999999999999999
4.86967525165863,5.64238929500459,0.446396668073057,0.599634135685732,0.595039386542835,0.94334405132642,1
5.01187233627272,5.63991320622626,0.437720981247526,0.590979093029392,0.586199179167617,0.941353893604842,0.999999999999999
5.15822165072306,5.63729482193611,0.42915727757232,0.582334823689512,0.577363009557568,0.939311735015355,0.999999999999999
5.30884444230988,5.63455463656343,0.420707377763392,0.573703638982338,0.568534966151285,0.937216433908264,0.999999999999999
5.46386549881854,5.63167423481973,0.412372978629376,0.565090551268311,0.559719166061633,0.935094786199673,1
5.62341325190349,5.62864321621929,0.404155654377845,0.556499990584886,0.550919748067302,0.932940708355704,1
5.78761988349121,5.6254690282463,0.396056858153738,0.547935271294072,0.542140865350428,0.930731077806225,0.999999999999999
5.95662143529011,5.62210253250617,0.388077923473272,0.539403144134643,0.533386678004474,0.928464685726106,1
6.13055792149821,5.61856638596006,0.380220066366611,0.530905930921855,0.524661345339735,0.926140306852837,1
6.30957344480193,5.61484813845149,0.372484387609569,0.522448094897952,0.515969018016825,0.923756700558887,0.999999999999999
6.49381631576211,5.61093904322256,0.364871874893577,0.514033837975058,0.507313830041366,0.921312611952192,1
6.68343917568615,5.60681806731639,0.357383405425778,0.505667961207858,0.498699890655794,0.918806773005238,1
6.87859912308808,5.60246500550675,0.350019748940709,0.497355093721304,0.490131276166584,0.916237903712371,1
7.07945784384138,5.59788687060241,0.342781570725135,0.48909841603892,0.481612021747269,0.913604713282211,1
7.28618174513228,5.59307941071311,0.335669434535897,0.480901694682745,0.473146113259389,0.910905901363577,0.999999999999999
7.49894209332456,5.58797697608492,0.328683805960583,0.47277144177311,0.464737479134763,0.908140159314926,1
7.71791515585012,5.5826147613716,0.321825056207581,0.464709347048465,0.456389982363376,0.905306171520966,0.999999999999999
7.94328234724282,5.57697517346017,0.315093465412656,0.456719542727041,0.448107412631505,0.902402616765818,1
8.1752303794365,5.57099122105282,0.308489226482951,0.448808020399413,0.439893478654561,0.899428169665392,1
8.41395141645195,5.56469553409214,0.302012449173452,0.440976496226692,0.431751800748462,0.896381502172568,1
8.65964323360066,5.5580557644893,0.295663163883349,0.433229289435158,0.42368590368211,0.893261285158784,1
8.91250938133746,5.55103414141359,0.289441325818786,0.425570696929013,0.415699209851789,0.890066190080605,1
