Time_s,BaselineRelativeSpeed_rad_s,resistor_RelativeSpeed_rad_s,distal_RelativeSpeed_rad_s,motorwheel_RelativeSpeed_rad_s,oildamper_RelativeSpeed_rad_s
0,8.88178419700125e-16,4.44089209850063e-16,0,-4.44089209850063e-16,1.11022302462516e-16
0.00025,0.000402043559081022,0.000377788327400985,0.00040204482080064,0.00113766386320657,0.000394152102738743
0.0005,0.00146039332153203,0.00130028059655096,0.00146036088519352,0.00412393731135774,0.00142888028564148
0.00075,0.00299854665603316,0.00254865530658899,0.00299830959540826,0.00843907598358173,0.00292776991545457
0.001,0.00488718941190625,0.00399167500755349,0.00488635771704615,0.0136892531625308,0.0047616042815648
0.00125,0.00703156383424686,0.00555060840549215,0.00702946781438962,0.0195731585749668,0.0068357302692898
0.0015,0.00936221804822779,0.00717820139656444,0.00935786426711527,0.0258576047740675,0.00908080619818691
0.00175,0.0118282318784773,0.00884607034287166,0.0118202712362265,0.0323597307579635,0.0114460264318686
0.002,0.014392256097389,0.0105371444275191,0.0143789608463938,0.0389340364042816,0.0138941597364142
0.00225,0.017026879653848,0.0122411348999001,0.0170061269955655,0.0454629530948556,0.0163979158533342
0.0025,0.0197119693867158,0.0139518189220023,0.0196812299256388,0.051850001588746,0.0189372847287692
0.00275,0.0224327218923195,0.0156654112562467,0.0223890516844611,0.058014841492513,0.021497588022295
0.003,0.0251782369048494,0.0173795881072389,0.0251182721757299,0.0638897022773768,0.0240680522206033
0.00325,0.0279404725824715,0.0190929019255641,0.0278604264369129,0.0694168218020987,0.0266407637242618
0.0035,0.0307134804643456,0.0208044305907613,0.0306091410915275,0.0745466179781582,0.0292099036547016
0.00375,0.0334928452316232,0.0225135671030881,0.0333595752414904,0.0792363922749275,0.0317711875012935
0.004,0.0362752744471049,0.0242198935093869,0.0361080110714025,0.0834494173244975,0.0343214547735236
0.00425,0.0390582981247949,0.0259231053267226,0.0388515540871435,0.0871543001630335,0.0368583685024125
0.0045,0.0418400487282513,0.0276229662391048,0.0415879136397894,0.0903245414582621,0.0393801951848942
0.00475,0.0446191000672211,0.0293192809427079,0.0443152422425102,0.092938232219558,0.0418856436368359
0.005,0.0473943493256819,0.0310118788709839,0.0470320179414796,0.0949778450183612,0.0443737469850335
0.00525,0.0501649306751424,0.0327006044421907,0.0497369582151399,0.0964300881641709,0.0468437762500054
0.0055,0.0529301520179248,0.0343853112170445,0.0524289569614953,0.0972857996853476,0.0492951770628096
0.00575,0.0556894486686059,0.0360658584004589,0.0551070383925696,0.0975398641600691,0.0517275233229612
0.006,0.0584423494392974,0.0377421087485277,0.0577703233097484,0.0971911400212644,0.0541404832623456
0.00625,0.0611884518083046,0.0394139273179279,0.0604180044453688,0.096242388352243,0.0565337945940601
0.0065,0.0639274037405366,0.0410811807203362,0.0630493284432672,0.0947001967134415,0.0589072463141506
0.00675,0.0666588903790117,0.0427437366795731,0.0656635827007128,0.0925748934267494,0.0612606653752564
0.007,0.0693826243034614,0.0444014637702277,0.0682600857700479,0.0898804491616967,0.0635939069279436
0.00725,0.0720983384011085,0.046054231265042,0.070838180366763,0.0866343637412768,0.0659068471746392
0.0075,0.074805780650339,0.0477019090475004,0.0733972282859296,0.0828575369049469,0.0681993781367521
