Parameter,Baseline,Proposed,Factor,Resonance_Hz,PeakReduction_pct,MovingCostReduction_pct,TransientReduction_pct
Rm,2.49472903906831,3.90865689965068,1.56676610503176,5.69330598137898,30.0000000000063,33.0075424007248,35.5820059767401
Km,0.0982136681591542,0.0577738456421737,0.588246490789365,5.69560775323918,30.0000000000131,35.6551331622776,40.1842738643205
Bs,0.00127160877081618,0.00442562446260486,3.48033496164412,5.66386865390766,44.4843530623541,30.0000000000134,3.69187527821406
Bm,0.00653610951658049,0.0195485125277911,2.99084837519955,5.64325265264388,44.5106576900835,30.0000000000142,8.00497345952586
