pt,pa,envelope
0.0305,11.21160005997,9.22701029946227
0.1525,10.66266994003,8.98307899596035
0.284,10.07485005997,8.72736956771437
0.405,9.63504994002999,8.49851324609487
0.535,9.14797005997002,8.25931760198669
0.657,8.77560994002998,8.04096885810305
0.787,8.37178005997001,7.8146510693826
0.9085,8.05281994002999,7.60889326963984
1.037,7.69764005997001,7.397172837531
1.1595,7.41258994002999,7.20082558965506
1.288,7.10863005997002,7.000459800393
1.4105,6.84983994002998,6.81464272596972
1.539,6.59148005997001,6.62502262597876
1.6615,6.35430994002999,6.44917098802231
1.7875,6.12608005997001,6.27316345638638
1.91,5.91796994002999,6.10665141088056
2.0375,5.70469005997001,5.93803535346328
2.1595,5.52658994002999,5.78105355144934
2.2875,5.33831005997001,5.62081063312372
2.409,5.17087994002999,5.47281610101039
2.535,5.00563005997001,5.32345475599021
2.6585,4.85022994002999,5.18101342755588
2.784,4.70282005997001,5.04016921911677
2.908,4.56162994002999,4.90476925244365
3.033,4.42847005997001,4.77195860991344
3.1545,4.30345994002999,4.64631413835333
3.28,4.17676005997001,4.52000556067328
3.403,4.06552994002999,4.39954543631516
3.5285,3.95207005997001,4.27994518761207
3.6515,3.84868994002998,4.16588277715147
3.7765,3.74488005997001,4.053079597254
3.9,3.64753994002999,3.94463009058104
4.0245,3.55636005997002,3.8382393936316
4.148,3.46795994002998,3.73553843285746
4.2715,3.38108005997002,3.63558547351373
4.394,3.30430994002998,3.53908411849328
4.519,3.22154005997002,3.44325330331041
4.6415,3.14924994002998,3.3518571274073
4.7665,3.07612005997002,3.26109601799555
4.8895,3.00259994002998,3.17418638335054
5.014,2.93757005997002,3.08857533901498
5.137,2.87021994002998,3.0062634558916
5.261,2.81031005997002,2.9255026809965
5.3825,2.74885994002998,2.84847493024487
5.508,2.69009005997002,2.77104004179713
5.6295,2.63383994002999,2.6980792535371
5.755,2.58166005997002,2.62473282390824
5.877,2.52550994002998,2.55534366335669
6,2.47601005997002,2.48724263752082
6.124,2.42261994002998,2.4204249265299
6.247,2.38128005997002,2.35591954401752
6.3695,2.32786994002998,2.29338506917897
6.494,2.28623005997002,2.23153013467802
6.616,2.23566994002999,2.17253593862867
6.741,2.19677005997002,2.11370832022736
6.8635,2.14920994002998,2.05760299179925
6.9855,2.11290005997002,2.00320684791413
7.11,2.06832994002998,1.94917831601392
7.2325,2.03668005997002,1.8974401984419
7.3545,1.99009994002998,1.84727822333823
7.479,1.95878005997002,1.79745524548544
7.6015,1.91478994002998,1.74974439724885
7.7255,1.88067005997002,1.70273896493611
7.8485,1.84291994002999,1.65736022707564
7.9705,1.81196005997001,1.61354516375157
