HeldOutSweep,FittedK,MagnitudeRMSE_dB,PhaseRMSE_deg
Freq Sweep 4-10Hz,2.19407443581831,1.83234634778008,5.03209044852727
Freq Sweep 5-7Hz,2.19606492362863,1.65866614887033,7.14663015668055
Freq Sweep 5.4-5.8Hz,2.21850859208741,0.892247680749781,17.4708854180517
