Factor,Resonance_Hz,PeakRatio,MovingCostRatio,FixedCostRatio,TransientRatio,DCGainRatio
1,5.69013197069411,1,1,1,1,1
0.981450865922496,5.69047110898975,0.990313135275024,0.986169544867126,0.986211643587566,0.982371274982136,0.994839090566054
0.963245802220018,5.69079419637549,0.980474536276339,0.972383692367778,0.972464409817553,0.965020252642724,0.989386106219009
0.945378426685046,5.69110209022705,0.970495209009663,0.958649810892299,0.958765915295263,0.947944387929923,0.983649613251562
0.927842475494485,5.69139559618529,0.960386051270262,0.944974915361126,0.945123405230061,0.931141048253087,0.977638499430586
0.910631801013735,5.69167547161953,0.950157829214924,0.931365671703894,0.93154375927326,0.914607521801896,0.971361942484539
0.893740369641493,5.69194242883872,0.939821155583437,0.917828402032289,0.918033497941484,0.898341025403399,0.964829378312381
0.877162259694535,5.6921971380706,0.929386469582108,0.904369090436001,0.904598789563829,0.882338711938299,0.958050469101399
0.860891659331735,5.69244023022655,0.918864018430384,0.890993389334406,0.891245457693641,0.866597677333597,0.951035071534649
0.844922864516586,5.69267229946898,0.908263840560989,0.877706626319794,0.87797898892827,0.851114967152798,0.943793205260569
0.829250277017519,5.69289390559618,0.897595750454181,0.864513811431281,0.864804541082781,0.835887582801573,0.936335021787957
0.813868402445314,5.69310557625867,0.886869325077793,0.851419644801739,0.851726951666279,0.820912487368003,0.928670773959058
0.798771848326912,5.69330780901975,0.876093891896689,0.838428524623331,0.83875074661219,0.806186611111616,0.920810786142205
0.783955322214961,5.69350107327212,0.86527851840814,0.825544555380419,0.82588014921654,0.791706856623062,0.912765425273422
0.769413629832423,5.69368581202112,0.854432003153381,0.812771556301779,0.813119089241004,0.777470103664967,0.904545072863871
0.755141673251602,5.69386244354478,0.84356286815029,0.800113069987123,0.800471212140162,0.763473213714332,0.896160098077122
0.741134449106948,5.69403136293961,0.832679352687584,0.787572371165995,0.787939888375051,0.74971303421697,0.887620831967194
0.727387046841006,5.6941929435607,0.82178940841732,0.775152475550042,0.775528222777768,0.736186402571929,0.878937542955179
0.713894646982913,5.69434753836377,0.810900695679545,0.76285614874254,0.763239063934386,0.722890149858622,0.870120413609363
0.700652519458814,5.69449548115635,0.800020580990843,0.750685915171882,0.751075013555998,0.709821104316926,0.861179518781007
0.687656021933632,5.69463708776478,0.789156135627022,0.738644067018374,0.739038435810116,0.696976094597524,0.85212480513567
0.674900598183582,5.69477265712299,0.77831413522942,0.726732673106345,0.727131466587042,0.684351952790772,0.842966072108107
0.662381776498888,5.6949024722887,0.767501060364028,0.714953587736038,0.715356022678071,0.671945517248311,0.833712954297517
