Parameter,Factor,Resonance_Hz,PeakReduction_pct,MovingCostReduction_pct,FixedCostReduction_pct,LocalPeak
Df,0.8,8.81764301915561,-1.71861944807421,-37.9261646992112,58.841685135577,1
Df,1.2,3.96354781437488,0.626541383379331,32.2454529718182,95.2019271358076,1
Lf,0.8,6.35248246007477,-0.300787154593829,-10.3031197147641,32.724711003457,1
Lf,1.2,5.19942255193921,0.201156468910568,8.43276988527033,41.3639780319878,1
rho,0.8,6.35248246007478,-0.300787154593829,-10.303119714764,32.724711003457,1
rho,1.2,5.19942255193921,0.201156468910557,8.43276988527031,41.3639780319879,1
Ds,0.8,3.62663052584988,-0.602890660554944,-1.00185795746617,92.7909054436522,1
Ds,1.2,8.20592739641846,0.215626537654512,0.355969456849436,80.6262729415626,1
Ls,0.8,6.36541431919879,0.0833527673467227,0.13788198224215,44.6303459049844,1
Ls,1.2,5.19137459108175,-0.0834258721646108,-0.13814786445665,35.7307384097895,1
Gs,0.8,5.08576548339804,-0.104293791302745,-0.1726124056594,49.5904528250632,1
Gs,1.2,6.23619177820258,0.0694655845244641,0.114709009523484,31.2797070132075,1
Bb,0.8,5.6901482003998,-0.206938546737945,-0.111524606918523,-0.111729905418301,1
Bb,1.2,5.69011554969737,0.206087565582769,0.111266862106385,0.111474331797745,1
