Parameter,Factor,ResonanceHz,PeakReduction_pct,MovingCostReduction_pct,FixedCostReduction_pct,PulseReduction_pct,DCGainRatio
driveInertiaFactor,0.25,8.66694030247456,66.4606185522947,49.1606015568831,73.1492709265111,-125.463500466813,1
driveInertiaFactor,0.4,7.39809698335964,50.0552378799571,29.4199790006657,66.4698652880247,-76.6357884062492,1
driveInertiaFactor,0.5,6.89227463110252,39.9847316201583,19.8527718521723,59.5952605144765,-55.5602394997361,1
driveInertiaFactor,0.6,6.52389336693946,30.6178462763304,12.7142750295905,48.8700616667435,-39.4946228927837,1
driveInertiaFactor,0.7,6.24259303949872,21.9510006090926,7.54160318118987,31.2805270161452,-26.6877711964394,1
driveInertiaFactor,0.8,6.02022531432624,13.9722866288425,3.91640475446535,11.4445631365725,-16.2342874321824,1
driveInertiaFactor,1,5.69013197069411,0,0,0,0,1
driveInertiaFactor,1.2,5.45612983952564,-11.5017654387824,-1.00180735321149,7.27227224201904,12.0639415833891,1
driveInertiaFactor,1.5,5.20929066853938,-24.6714072626535,0.506616844139629,35.9467415203353,25.3767677955134,1
driveInertiaFactor,2,4.94773122126885,-37.9245299820936,6.46854581981382,74.1894425919775,39.9508241301384,1
driveInertiaFactor,3,4.66906239413725,-44.2244281748865,20.3981862201619,88.3688225408006,52.4789514369203,1
driveInertiaFactor,4,4.52238539266585,-38.2277121190757,32.1763130034749,92.4476841791731,66.4446274559285,0.999999999999999
driveInertiaFactor,6,4.37017630066816,-18.2376927639365,48.5869316691151,95.5520692746953,68.7795781700375,1
driveInertiaFactor,8,4.29186105819213,-0.0740629460568965,58.9246762769891,96.8461338763284,82.1243869923937,1
loadInertiaFactor,0.25,9.02799913955563,-38.0477995694373,-46.7607537028206,73.5164063957084,35.8070588798936,1
loadInertiaFactor,0.4,7.5475938554934,-43.7601219903016,-42.8439908613748,66.6529176850483,23.188157358995,1
loadInertiaFactor,0.5,6.98410279666233,-38.3049792325011,-35.5848796690717,59.3897967355937,17.3698906297171,1
loadInertiaFactor,0.6,6.58142524096225,-30.5459116374171,-27.6521145200235,47.3708683586651,12.1491232324866,1
loadInertiaFactor,0.7,6.27783358720361,-22.2699849649708,-19.906991755092,24.0894358233559,8.97111315620496,1
loadInertiaFactor,0.8,6.03999361962069,-14.2527110996619,-12.6700245493653,-1.82614861252106,5.54152234294828,1
loadInertiaFactor,1,5.69013197069411,0,0,0,0,1
loadInertiaFactor,1.2,5.444178124624,11.6988378033412,10.4382980971749,18.7430677491393,-4.29415919505169,1
