File,Voltage_V,Current_A,MotorSpeed_rad_s
motor constant 100 mV,4.09946208758248,0.238628714257148,34.1931644271146
motor constant 100 mV 2,4.09992987402519,0.227844071185763,34.3181349330134
motor constant 125 mV,5.12863043391322,0.233855668866227,44.3784324935013
motor constant 125 mV 2,5.12770705858829,0.237269366126775,45.1037464707059
motor constant 150 mV,6.157175384923,0.243027094581083,54.7881757648471
motor constant 150 mV 2,6.15784587082582,0.231394981003799,55.1887820035992
motor constant 175 mV,7.1866799040192,0.239334193161368,65.6523899820037
motor constant 175 mV 2,7.18603527294541,0.240607098580284,65.8425047790441
motor constant 200 mV,8.21453167366528,0.253882423515297,76.1300963007398
motor constant 200 mV 2,8.21486272745452,0.245755528894221,76.2183829434114
motor constant 50 mV 2,2.04122387522496,0.226514757048591,14.2038595680864
motor constant 50mV,2.04079802039592,0.239187482503499,13.2531489102179
motor constant 75 mV,3.07042511497701,0.233735592881424,23.8983674265147
motor constant 75 mV 2,3.07069820035993,0.224367726454709,24.3199645670866
