Time_s,BaselineMotor_rad_s,BaselineDistal_rad_s,BaselineRipple_rad_s,Rm_Ripple_rad_s,Km_Ripple_rad_s,Bs_Ripple_rad_s,Bm_Ripple_rad_s
0.026,0.258086026961747,0.0197452948391317,-0.11990576437845,-0.0739630403694107,-0.0653386652531291,-0.0921579048158978,-0.0931080250585277
0.027,0.266454819660876,0.0220362757242398,-0.12296342332251,-0.0758194396433727,-0.0670344082335848,-0.0935896099769839,-0.0945039977778651
0.028,0.274640185153987,0.024487408407559,-0.125848232654338,-0.0775704923218539,-0.0686376740609827,-0.0948600934330968,-0.0957232945441026
0.029,0.282639143682804,0.0271022641017749,-0.128556896675488,-0.0792141732344119,-0.070146581853987,-0.0959716254714977,-0.0967671597463182
0.03,0.290448950303259,0.0298841850834966,-0.131086352993553,-0.0807485990665433,-0.0715593753176304,-0.0969266234687154,-0.0976370155499814
0.031,0.298067097891393,0.0328362809418552,-0.133433775921667,-0.0821720304856091,-0.0728744247643762,-0.0977276452948931,-0.0983344584404239
0.032,0.305491319837452,0.035961425133932,-0.135596579566779,-0.083482874077724,-0.0740902289689495,-0.098377382698239,-0.0988612556032994
0.033,0.312719592425465,0.0392622518507424,-0.137572420603465,-0.0846796840935228,-0.0752054168548601,-0.0988786546784438,-0.0992193411479799
0.034,0.319750136895943,0.0427411531970985,-0.139359200730406,-0.0857611640009504,-0.0762187490107736,-0.099234400857731,-0.0994108121799517
0.035,0.326581421189776,0.0464002766882516,-0.140955068807126,-0.0867261678434752,-0.0771291190351009,-0.0994476748580169,-0.099437924728381
0.036,0.333212161371817,0.050241523065818,-0.142358422668952,-0.0875737014023859,-0.0779355547073987,-0.0995216376924122,-0.099303089535115
0.037,0.339641322733042,0.054266544435043,-0.143567910618604,-0.0883029231620808,-0.078637218985405,-0.099459551179125,-0.0990088677114754
0.038,0.345868120570611,0.0584767427250985,-0.144582432593242,-0.0889131450775105,-0.0792334108267544,-0.0992647713855644,-0.0985579662692814
0.039,0.351892020645545,0.0628732684736306,-0.145401141006191,-0.0894038331431962,-0.0797235658346437,-0.0989407421102389,-0.0979532335326119
0.04,0.357712739318177,0.0674570199363997,-0.146023441263007,-0.0897746077634974,-0.0801072567269532,-0.0984909884098146,-0.0971976544368837
0.041,0.363330243361916,0.0722286425224095,-0.14644899195197,-0.0900252439240659,-0.0803841936285444,-0.0979191101784493,-0.0962943457218745
0.042,0.368744749456296,0.0771885285545184,-0.14667770470947,-0.0901556711646613,-0.0805542241866974,-0.0972287757863,-0.0952465510253732
0.043,0.373956723360698,0.0823368173551073,-0.146709743761227,-0.0901659733537808,-0.0806173335098615,-0.0964237157838455,-0.0940576358841749
0.044,0.378966878770501,0.0876733956559468,-0.146545525140633,-0.0900563882657901,-0.0805736439301338,-0.095507716678433,-0.0927310826491747
0.045,0.383776175857868,0.0931978983310247,-0.146185715585974,-0.0898273069614994,-0.0804234145900981,-0.0944846147892038,-0.091270485321334
0.046,0.388385819499746,0.098909709450643,-0.145631231118655,-0.08947927297339,-0.0801670408548792,-0.0933582901863196,-0.0896795443153119
0.047,0.392797257196049,0.104807963654721,-0.144883235304982,-0.0890129812969269,-0.0798050535504973,-0.0921326607201406,-0.0879620611575617
0.048,0.397012176681415,0.110891547842823,-0.143943137204448,-0.0884292771896487,-0.0793381180298231,-0.0908116761457797,-0.0861219331256911
0.049,0.401032503234265,0.117159103178001,-0.142812589007844,-0.0877291547799734,-0.0787670330676522,-0.0893993123481919,-0.0841631478358793
0.05,0.404860396687334,0.123609027401226,-0.141493483368958,-0.0869137554878872,-0.0780927295866358,-0.0878995656727076,-0.0820897777851261
0.051,0.408498248144139,0.130239477452672,-0.139987950433934,-0.0859843662599279,-0.0773162692160241,-0.0863164473656741,-0.0799059748550887
