File,Combination,Alpha_per_s,DampedFrequency_Hz,Zeta,B_Nm_s_rad,LogEnvelope_R2,ExtremaUsed
Distal Bearing +Shaft Damping 2,Btr,0.219609743266913,4.04858299595142,0.00863281641889692,0.00149606094593551,0.980996225089788,65
Distal Bearing Damping +Shaft 1 (eraser left side)_,Btr,0.199867673110304,4.04858299595142,0.00785680974098952,0.00136157082853974,0.989330117662809,65
Motor + Shaft Damping 1 (eraser right side),Btl,1.17658143244292,4,0.0467634720137212,0.00811483676551958,0.980415904543209,12
Motor + Shaft Damping 2,Btl,1.0875223646241,4.01606425702811,0.0430580850491761,0.00750059980927376,0.980476261313839,14
