File,Alpha_per_s,EffectiveBb_Nm_s_rad,CoulombTorque_Nm,ViscousRMSE_rad_s,CoulombRMSE_rad_s,LinearSlope_rad_s2,Samples,FitStart_s,FitEnd_s
motor disconnected,0.023510037199782,0.000160158870771669,0.00157455747688728,0.214568315989757,0.209490500673393,-0.231132404196265,31001,4,19.5
motor disconnected 2,0.0226434494891671,0.000154255362071224,0.0015476178463712,0.19012860969589,0.185145274288109,-0.227177882585756,31001,4,19.5
