Flexible Shaft
9/10/2026 3:44:14 PM
Sample Rate (Hz) = 2000.00
Effective Sample Rate (Hz) = 2000.00
time (s)	Voltage (V)	Current (A)	Distal Tach (rad/s)	Motor Tach (rad/s)

0.0000	8.2121	0.2756	78.3541	76.1916
0.0005	8.2122	0.2738	78.4877	75.9865
0.0010	8.2113	0.2784	77.5327	76.2625
0.0015	8.2108	0.2919	77.1552	75.8547
0.0020	8.2108	0.2893	77.1029	75.9142
0.0025	8.2109	0.2893	75.8993	76.3410
0.0030	8.2114	0.2815	73.6565	75.9196
0.0035	8.2125	0.2712	72.6071	75.8617
0.0040	8.2140	0.2560	74.1245	75.7983
0.0045	8.2130	0.2628	74.8127	75.8966
0.0050	8.2123	0.2750	74.8448	76.1988
0.0055	8.2105	0.2876	74.9068	75.6755
0.0060	8.2109	0.2915	76.0870	75.9970
0.0065	8.2110	0.2907	76.9910	76.5496
0.0070	8.2115	0.2786	76.7345	76.3658
0.0075	8.2123	0.2745	76.4981	76.3420
0.0080	8.2141	0.2541	77.2176	76.0135
0.0085	8.2142	0.2498	78.1430	76.1659
0.0090	8.2136	0.2564	77.1123	76.2451
0.0095	8.2135	0.2626	75.4015	75.8014
0.0100	8.2139	0.2576	76.3631	76.3253
0.0105	8.2150	0.2449	77.6302	76.4052
0.0110	8.2161	0.2387	77.8641	76.3821
0.0115	8.2165	0.2280	77.5104	76.5296
0.0120	8.2150	0.2448	77.7083	75.9743
0.0125	8.2138	0.2525	78.4704	75.8924
0.0130	8.2128	0.2638	78.0273	75.8374
0.0135	8.2137	0.2620	77.0101	75.8230
0.0140	8.2136	0.2585	75.7877	76.4193
0.0145	8.2140	0.2580	75.5116	76.4245
0.0150	8.2145	0.2475	74.1929	76.3410
0.0155	8.2148	0.2456	73.0036	76.6342
0.0160	8.2156	0.2385	73.7530	76.3110
0.0165	8.2159	0.2357	74.6629	76.2475
0.0170	8.2157	0.2384	75.6530	76.1435
0.0175	8.2163	0.2328	75.4814	76.2460
0.0180	8.2176	0.2258	75.7371	76.7080
0.0185	8.2186	0.2118	76.5917	76.7069
0.0190	8.2172	0.2163	77.3628	76.5126
0.0195	8.2170	0.2231	77.1885	76.6313
0.0200	8.2158	0.2354	76.9962	76.1587
0.0205	8.2141	0.2531	77.2677	76.1622
0.0210	8.2138	0.2570	76.3964	76.2257
0.0215	8.2131	0.2637	76.2371	76.3615
0.0220	8.2135	0.2599	76.4023	76.3375
0.0225	8.2152	0.2552	77.2159	76.0178
0.0230	8.2159	0.2333	78.1722	76.1559
0.0235	8.2148	0.2445	78.2719	76.1214
0.0240	8.2142	0.2525	77.6883	75.6235
0.0245	8.2150	0.2506	77.6166	75.7552
0.0250	8.2154	0.2408	77.8698	75.8997
0.0255	8.2158	0.2347	77.3548	76.3137
0.0260	8.2167	0.2325	75.9130	76.2710
0.0265	8.2165	0.2324	74.6857	75.9639
0.0270	8.2160	0.2399	74.0368	76.3532
