Flexible Shaft
9/10/2026 3:42:21 PM
Sample Rate (Hz) = 2000.00
Effective Sample Rate (Hz) = 2000.00
time (s)	Voltage (V)	Current (A)	Distal Tach (rad/s)	Motor Tach (rad/s)

0.0000	7.1862	0.2454	67.3135	65.7362
0.0005	7.1855	0.2467	66.7213	66.0084
0.0010	7.1859	0.2434	66.2363	65.8836
0.0015	7.1867	0.2408	65.8632	65.7851
0.0020	7.1869	0.2411	65.0068	65.5227
0.0025	7.1864	0.2343	63.9776	65.6201
0.0030	7.1861	0.2499	63.2561	66.0360
0.0035	7.1849	0.2538	63.9711	65.8637
0.0040	7.1834	0.2697	64.3513	65.8736
0.0045	7.1834	0.2689	64.6297	66.0054
0.0050	7.1848	0.2607	64.9347	66.0840
0.0055	7.1840	0.2638	65.4645	66.1153
0.0060	7.1836	0.2738	66.0083	65.9938
0.0065	7.1834	0.2746	66.1292	65.6762
0.0070	7.1855	0.2514	66.2252	65.7141
0.0075	7.1868	0.2382	66.5003	65.7292
0.0080	7.1874	0.2346	66.9205	65.6205
0.0085	7.1871	0.2333	66.6454	65.7902
0.0090	7.1879	0.2263	64.7931	65.7970
0.0095	7.1877	0.2296	65.3407	65.6306
0.0100	7.1878	0.2266	65.9747	65.6733
0.0105	7.1883	0.2207	66.3928	65.7977
0.0110	7.1874	0.2277	66.5871	65.7666
0.0115	7.1866	0.2460	66.9348	65.7262
0.0120	7.1853	0.2530	67.3562	65.8330
0.0125	7.1845	0.2595	67.4222	65.7618
0.0130	7.1855	0.2551	67.2846	65.9143
0.0135	7.1847	0.2528	67.0992	66.0901
0.0140	7.1852	0.2535	67.1289	65.8397
0.0145	7.1855	0.2544	66.5292	65.8516
0.0150	7.1865	0.2410	65.9171	65.9399
0.0155	7.1866	0.2371	64.7595	65.9417
0.0160	7.1869	0.2394	64.2066	65.7615
0.0165	7.1867	0.2425	64.0267	66.1256
0.0170	7.1869	0.2406	63.6002	66.1351
0.0175	7.1874	0.2381	64.1659	65.9968
0.0180	7.1871	0.2349	64.7072	66.0483
0.0185	7.1864	0.2393	65.2602	65.8717
0.0190	7.1875	0.2296	65.4175	66.0048
0.0195	7.1874	0.2346	65.7850	66.1530
0.0200	7.1859	0.2534	66.2526	66.0199
0.0205	7.1844	0.2571	66.6922	65.5534
0.0210	7.1833	0.2723	66.5808	65.5280
0.0215	7.1827	0.2785	66.7465	65.3648
0.0220	7.1836	0.2744	66.7475	65.6331
0.0225	7.1844	0.2676	66.4740	65.8102
0.0230	7.1840	0.2637	66.4817	65.6088
0.0235	7.1854	0.2555	65.7293	65.6506
0.0240	7.1863	0.2458	65.9877	66.0079
0.0245	7.1866	0.2408	66.8570	65.9909
0.0250	7.1867	0.2431	67.0321	65.5079
0.0255	7.1861	0.2471	67.0065	65.5115
0.0260	7.1862	0.2408	67.1187	65.3390
0.0265	7.1868	0.2417	67.4459	65.5117
0.0270	7.1866	0.2422	67.3527	66.0696
0.0275	7.1871	0.2388	66.9147	66.1311
0.0280	7.1871	0.2342	66.3739	66.1529
0.0285	7.1867	0.2382	66.1303	66.3139
0.0290	7.1861	0.2531	65.4350	66.1664
0.0295	7.1852	0.2549	63.3505	65.8584
0.0300	7.1838	0.2651	63.2093	65.7747
0.0305	7.1851	0.2595	63.7200	65.6130
0.0310	7.1844	0.2605	64.3012	65.4412
0.0315	7.1850	0.2588	64.5439	65.5921
0.0320	7.1861	0.2473	64.8296	65.8575
0.0325	7.1867	0.2337	65.3500	66.0067
0.0330	7.1858	0.2442	65.9610	66.0323
0.0335	7.1859	0.2528	66.1612	65.8211
0.0340	7.1857	0.2505	66.2810	65.5849
0.0345	7.1862	0.2446	66.5878	65.5942
0.0350	7.1863	0.2410	66.9921	65.7597
0.0355	7.1867	0.2368	66.8523	65.5457
0.0360	7.1866	0.2336	66.0566	65.6272
0.0365	7.1865	0.2418	66.6833	65.8987
0.0370	7.1866	0.2442	66.3649	66.1109
0.0375	7.1855	0.2472	65.9494	66.1706
0.0380	7.1863	0.2475	66.3539	66.0277
0.0385	7.1851	0.2554	66.7952	65.8903
0.0390	7.1845	0.2640	67.2192	65.8855
0.0395	7.1852	0.2608	67.3085	66.1495
0.0400	7.1854	0.2524	67.1366	65.7598
0.0405	7.1856	0.2550	67.1962	65.8958
0.0410	7.1862	0.2437	67.1539	66.0822
0.0415	7.1872	0.2298	66.8213	66.1028
0.0420	7.1875	0.2329	66.0067	65.8511
0.0425	7.1858	0.2467	65.5851	65.9427
0.0430	7.1852	0.2506	63.8768	65.9125
0.0435	7.1848	0.2542	63.3309	65.9974
0.0440	7.1857	0.2520	63.5309	66.1464
0.0445	7.1858	0.2473	63.8209	65.7036
0.0450	7.1861	0.2461	64.4849	65.5373
0.0455	7.1865	0.2406	64.9506	65.6081
0.0460	7.1861	0.2455	65.2143	65.9100
0.0465	7.1851	0.2567	65.4963	65.5652
0.0470	7.1841	0.2657	66.0509	65.5548
0.0475	7.1832	0.2748	66.4815	65.4977
0.0480	7.1835	0.2714	66.6157	65.7466
0.0485	7.1840	0.2721	66.5619	66.1125
0.0490	7.1841	0.2622	66.9287	65.5156
0.0495	7.1850	0.2556	67.1052	65.5036
0.0500	7.1865	0.2419	66.5759	65.5496
0.0505	7.1874	0.2359	66.4366	65.8602
0.0510	7.1863	0.2412	66.1127	65.9834
0.0515	7.1860	0.2493	66.3575	66.0056
0.0520	7.1858	0.2475	66.8470	65.9028
0.0525	7.1860	0.2481	66.8203	65.9391
0.0530	7.1857	0.2502	67.0510	66.1934
0.0535	7.1859	0.2479	67.3497	65.8479
0.0540	7.1865	0.2464	67.4234	65.7170
0.0545	7.1860	0.2537	67.0011	65.7696
0.0550	7.1856	0.2520	66.6182	65.8459
0.0555	7.1853	0.2576	66.3261	65.7449
0.0560	7.1840	0.2614	65.9169	66.0170
0.0565	7.1841	0.2639	63.4651	65.8599
0.0570	7.1854	0.2513	62.9559	65.7156
0.0575	7.1862	0.2422	63.4887	65.6935
0.0580	7.1871	0.2355	63.9659	65.4304
0.0585	7.1884	0.2277	64.1849	65.3534
0.0590	7.1882	0.2234	64.5061	65.7158
0.0595	7.1881	0.2205	65.1471	65.7433
0.0600	7.1876	0.2266	65.6331	65.7623
0.0605	7.1876	0.2269	65.9626	66.0513
0.0610	7.1873	0.2353	66.1348	66.2003
0.0615	7.1876	0.2388	66.3834	65.9642
0.0620	7.1884	0.2266	66.6678	66.0119
0.0625	7.1883	0.2187	66.8836	65.8540
0.0630	7.1875	0.2322	66.9879	65.7335
0.0635	7.1860	0.2433	67.0696	66.0241
0.0640	7.1853	0.2569	66.4145	66.0633
0.0645	7.1837	0.2673	66.0996	66.1319
0.0650	7.1839	0.2687	66.2565	66.1817
0.0655	7.1853	0.2528	66.6926	66.2842
0.0660	7.1866	0.2419	67.1512	65.7653
0.0665	7.1867	0.2348	67.2081	65.8160
0.0670	7.1867	0.2400	67.3486	65.8104
0.0675	7.1868	0.2389	67.4429	65.7525
0.0680	7.1863	0.2467	67.5119	65.8816
0.0685	7.1851	0.2523	67.0307	65.6903
0.0690	7.1853	0.2526	66.7358	65.5668
0.0695	7.1854	0.2561	65.8106	65.6123
0.0700	7.1862	0.2474	64.8171	65.9476
0.0705	7.1863	0.2404	63.6561	65.4993
0.0710	7.1871	0.2360	63.1514	65.4978
0.0715	7.1874	0.2264	63.7899	65.5616
0.0720	7.1870	0.2328	64.0626	65.5303
