Flexible Shaft
9/10/2026 3:44:47 PM
Sample Rate (Hz) = 2000.00
Effective Sample Rate (Hz) = 2000.00
time (s)	Voltage (V)	Current (A)	Distal Tach (rad/s)	Motor Tach (rad/s)

0.0000	5.1260	0.2549	43.3782	45.0171
0.0005	5.1250	0.2608	43.7880	44.9258
0.0010	5.1248	0.2683	43.9053	44.9297
0.0015	5.1254	0.2567	43.8212	44.9761
0.0020	5.1262	0.2492	44.0326	45.0146
0.0025	5.1274	0.2409	44.4560	45.0353
0.0030	5.1280	0.2312	44.6581	44.9640
0.0035	5.1278	0.2356	44.6611	44.9329
0.0040	5.1275	0.2398	44.7862	44.8466
0.0045	5.1288	0.2286	45.1446	44.6627
0.0050	5.1296	0.2197	45.2569	44.6890
0.0055	5.1287	0.2243	45.1431	44.8371
0.0060	5.1296	0.2134	45.1575	44.8335
0.0065	5.1303	0.2074	45.5285	44.8850
0.0070	5.1309	0.2075	45.6185	44.8150
0.0075	5.1305	0.2006	45.6120	44.8690
0.0080	5.1309	0.2048	44.3972	44.9511
0.0085	5.1295	0.2158	44.2576	44.8523
0.0090	5.1295	0.2189	44.7810	44.8157
0.0095	5.1309	0.2057	44.6906	44.7938
0.0100	5.1311	0.2031	44.8680	44.7752
0.0105	5.1300	0.2122	45.2207	44.8550
0.0110	5.1291	0.2202	45.5654	44.8455
0.0115	5.1278	0.2317	45.5715	44.7327
0.0120	5.1262	0.2530	45.5514	44.7879
0.0125	5.1255	0.2611	45.7911	44.8416
0.0130	5.1244	0.2704	46.0279	44.8377
0.0135	5.1240	0.2716	45.9072	44.8102
0.0140	5.1248	0.2635	45.7596	44.8735
0.0145	5.1257	0.2582	45.9060	45.0548
0.0150	5.1260	0.2512	46.0167	45.0976
0.0155	5.1266	0.2507	45.7016	44.9919
0.0160	5.1268	0.2544	45.2641	44.9660
0.0165	5.1274	0.2396	45.2054	44.9222
0.0170	5.1284	0.2290	45.1266	44.9878
0.0175	5.1291	0.2260	44.8383	44.9862
0.0180	5.1291	0.2241	43.9542	44.8859
0.0185	5.1294	0.2186	43.6277	44.9121
0.0190	5.1296	0.2259	43.9500	44.8742
0.0195	5.1295	0.2211	43.4355	45.1026
0.0200	5.1290	0.2200	43.2818	45.0857
0.0205	5.1289	0.2236	43.5995	44.9590
0.0210	5.1301	0.2138	44.0743	44.9951
0.0215	5.1303	0.2094	44.1971	45.0439
0.0220	5.1296	0.2163	44.1388	44.9689
