Parameter,Option,Baseline,Proposed,Factor,Change_pct,Resonance_Hz,PeakReduction_pct,MovingCostReduction_pct,FixedCostReduction_pct,TransientReduction_pct,OpenOffReduction_pct,DCGainRatio,EqualSpeedTransientReduction_pct,LocalResonanceExists
Rm,Added series resistance,2.49472903906831,4.1,1.64346505604119,64.3465056041194,5.69355122554293,32.7301056435754,35.8707348675457,35.8442977255389,38.5412508793363,38.5412508793363,0.71029887389335,13.4748042274222,1
Km,Lower motor constant,0.0982136681591542,0.053,0.53963975680161,-46.036024319839,5.69601395034756,34.7418918891507,40.4989774438245,40.4584718649289,45.0497755342904,45.0497755342904,0.72877566620441,24.5992600824614,1
Bs,Shaft-path damper,0.00127160877081618,0.039,30.6698104755662,2966.98104755662,NaN,85.8856861953758,82.5650951068672,82.5650951068672,32.1550073552557,32.1642617995532,1,32.1550073552557,0
Bm,Motor-side damper,0.00653610951658049,0.077,11.7807083563502,1078.07083563502,5.11095786839748,77.6319017878737,65.9377322637217,71.3521314398291,32.2213220544081,32.2213220614587,0.130330197254398,-420.053520776089,1
