Factor,Resonance_Hz,PeakRatio,MovingBandCostRatio,FixedBandCostRatio,LocalResonanceExists
0.5,21.2357962939421,1.14192887190396,1.82043385348394,1.37112028934584,1
0.502896470533927,21.0213457287184,1.13891708710724,1.81513223924499,1.35123102717355,1
0.505809720150961,20.8086694796977,1.13595370811581,1.80988912392843,1.33142114780409,1
0.508739846051343,20.5977068605321,1.13303846284101,1.80470357249241,1.3117015415823,1
0.511686945998387,20.3884726297874,1.13017105399649,1.79957416458136,1.29208276671601,1
0.514651118321746,20.1809630715836,1.12735116058637,1.79449950697568,1.27257503253128,1
0.517632461920689,19.9751525506623,1.12457843944876,1.78947828323438,1.25318818479508,1
0.520631076267403,19.7710738822777,1.12185252672717,1.78450871623633,1.23393169309547,1
0.523647061410313,19.5686688673191,1.11917303928158,1.77958959014269,1.21481464025378,1
0.526680517977418,19.3679698255828,1.116539576038,1.77471898660421,1.19584571372964,1
0.529731547179648,19.1689601333552,1.11395171931642,1.76989526843094,1.1770331989665,1
0.532800250814242,18.971611989232,1.11140903615901,1.76511684397519,1.15838497461455,1
0.535886731268147,18.7759339728048,1.1089110793857,1.76038176719144,1.13990850955767,1
0.538991091521428,18.5819194292661,1.10645738889089,1.75568814913179,1.12161086166276,1
0.542113435150709,18.3895719374706,1.10404749272625,1.75103394001436,1.10349867816292,1
0.545253866332629,18.1988696430465,1.10168090814062,1.74641727069377,1.08557819758024,1
0.548412489847313,18.0097850262651,1.09935714261797,1.74183629972355,1.06785525308967,1
0.551589411081873,17.8223854102638,1.09707569489786,1.73728810918223,1.05033527722264,1
0.554784736033923,17.6365609404985,1.09483605590314,1.73277164194096,1.03302330780726,1
0.557998571315112,17.4523899118451,1.09263770942166,1.72828369930057,1.01592399504122,1
0.561231024154687,17.26982057121,1.09048013330382,1.72382250219257,0.999041609593918,1
0.564482202403066,17.0888576771206,1.08836280004129,1.71938555963785,0.982380051635859,1
0.567752214535439,16.9094880766665,1.0862851776221,1.7149705469783,0.965942860695099,1
0.571041169655386,16.7317152816978,1.0842467301859,1.71057485547214,0.949733226243741,1
0.574349177498517,16.5555211603775,1.0822469188368,1.7061961234722,0.933753998920763,1
0.577676348436136,16.3809099563076,1.08028520217147,1.70183160664064,0.918007702301556,1
0.58102279347892,16.2078686601616,1.07836103701045,1.69747876128427,0.90249654512899,1
0.584388624280623,16.0363559464137,1.0764738790216,1.69313549851867,0.887222433925653,1
0.587773953141804,15.8664248025975,1.0746231830858,1.68879806656598,0.872186985911971,1
0.591178893013574,15.6980610705634,1.07280840399586,1.68446374682361,0.857391542160258,1
0.594603557501361,15.5312055376761,1.07102899699281,1.68013068004658,0.842837180920125,1
0.598048060868702,15.3658701852458,1.06928441798907,1.6757956581396,0.828524731056213,1
0.601512518041058,15.2020890801571,1.06757412438051,1.67145488069475,0.814454785544727,1
0.604997044609646,15.0398123346758,1.0658975750598,1.66710623796204,0.80062771498076,1
0.608501756835296,14.8790080236406,1.06425423120702,1.66274730921636,0.787043681053863,1
0.612026771652328,14.7197434641693,1.06264355643622,1.65837328998756,0.773702649954642,1
0.615572206672458,14.5619592132747,1.06106501691298,1.65398227086508,0.76060440568046,1
0.61913818018872,14.4056529928036,1.05951808220016,1.64957098957302,0.747748563213398,1
0.622724811179411,14.2507967904647,1.05800222520687,1.64513683766483,0.735134581548646,1
0.626332219312064,14.097436354025,1.05651692256305,1.64067512284788,0.722761776556303,1
0.629960524947437,13.9455267352738,1.0550616546966,1.63618360589927,0.710629333664281,1
0.633609849143531,13.7950648226874,1.05363590637785,1.63165887562916,0.698736320354524,1
0.637280313659631,13.6460340981803,1.05223916690505,1.62709790744098,0.687081698469207,1
0.640972040960364,13.4984058486362,1.05087092999935,1.6224981121036,0.675664336327877,1
