File,Alpha_per_s,EffectiveBb_Nm_s_rad,CoulombTorque_Nm,ViscousRMSE_rad_s,CoulombRMSE_rad_s,LinearSlope_rad_s2,Samples
motor disconnected 2.txt,0.0218954404811178,0.000149159654351233,0.00155785935767896,0.204897588152618,0.194394122663943,-0.228681254273302,40000
motor disconnected.txt,0.0221184162218407,0.00015067864568843,0.00154653541086836,0.246517089972619,0.225175797109789,-0.227018989738825,40000
