Design,PeakTorsionalSpeedRipple_rad_s,PeakShaftTwist_rad,RippleReduction_pct
Baseline,0.161544922166196,0.0160388308737205,0
Rm,0.105458070990974,0.0102902439727612,34.719043113915
Bs,0.144218419603811,0.015431884444544,10.7255011980875
Bm,0.1371832118947,0.0143764668743272,15.0804556062942
Bb,0.151137897449166,0.0166594884158467,6.44218622131817
