Parameter,InitialValue,ProposedValue,Factor,NewResonance_Hz,PeakReduction_pct,MovingCostReduction_pct,FixedCostReduction_pct,PassingGridPoints
Rm,2.49472903906831,3.93732679888185,1.57825829467728,5.69331723909592,30.2327720552737,33.3943984089148,33.3703106873904,42
Bs,0.00147008084998017,0.00465984226300203,3.16978638492223,5.66416028743043,45.3997033750916,30.5182398935437,30.7964933846824,101
Bm,0.00533391915001983,0.018256173627079,3.42265660832356,5.64571613254627,45.0545520542699,30.2070160340467,30.7389402567429,213
Bb,0.000149919150019832,0.0121680347206514,81.163978844876,5.66912195432313,44.6269184594093,30.0085443586653,30.2293160965953,48
