Parameter,ProposedValue,Factor,NewResonance_Hz,PeakReduction_pct,MovingCostReduction_pct,RippleReduction_pct,PeakRipple_rad_s,ShaftDamping_Nm_s_rad
Rm,3.93732679888185,1.57825829467728,5.69331723909592,30.2327720552737,33.3943984089148,34.719043113915,0.105458070990974,0.00147008084998017
Bs,0.0268809765154658,18.2853728866875,4.94719033103632,84.2677279865735,75.0145052935224,30.413147574476,0.112414026588718,0.0268809765154658
Bm,0.051519191816245,9.65878753825007,5.39611644866505,72.5808089333017,58.9909199914477,30.4082545642331,0.112421930998307,0.00147008084998017
Bb + Bs,0.0121680347206514,81.163978844876,4.56740555024342,85.5630548578234,76.9097656540605,30.2181360229464,0.112729057847852,0.0277018648106892
