file,alpha,Bb,Tc,rmse_exp,rmse_linear
motor disconnected,0.022118416254499274,0.00015067864591091228,0.0015465354108683495,0.24651708997261984,0.2251757971097885
motor disconnected 2,0.021895440509830028,0.000149159654546831,0.00155785935767895,0.20489758815261871,0.19439412266394335
