parameter,factor,value,freq,ripple_reduction,peak_reduction,cost_reduction,Bs_value,Bs_factor
Rm,1.578258294677283,3.9373267988818643,5.693321713148577,34.71904308966269,30.232772018751607,33.39446372532138,,
Bs,18.285372886687462,0.026880976511643454,4.947199853389619,30.413147653507988,84.26772798693821,75.01452152357444,,
Bm,9.658787538250074,0.05151919181826405,5.39612492064977,30.408254519687883,72.58080893469503,58.99096545828941,,
Bb + Bs,81.16397884487598,0.012168034737617923,4.567389607380608,30.21813593907201,85.56305485980762,76.90977008271135,0.027701864806750142,18.84376958659311
