parameter,factor,value,freq,peak_reduction,cost_reduction
Rm,1.578258294677283,3.9373267988818643,5.693321713148577,30.232772018751607,33.39446372532138
Bs,3.169786384922227,0.004659842262339421,5.66416894145141,45.39970335699268,30.518347007261504
Bm,3.4226566083235617,0.018256173627794445,5.645726742674637,45.054552034122786,30.207141457424523
Bb,81.16397884487598,0.012168034737617923,5.669132414032869,44.62691846938823,30.00866874986211
