design,peak_ripple,peak_twist,ripple_reduction
Baseline,0.16154492258028563,0.01603883088167314,0.0
Rm,0.10545807104330418,0.01029024397259373,34.71904324885671
Bs,0.14421841975176086,0.015431884463891099,10.725501335341402
Bm,0.1371832119511105,0.014376466880909267,15.080455789050074
Bb,0.15113789764884777,0.016659488422121997,6.442186337528321
